tti,event,ue,pkt_bits,retx,sinr_db,cqi,rb_alloc,rb_perr
340,ACK,5,10918,0,17.48,12,20,0.000509
341,ACK,10,2513,0,13.11,10,7,0.016513
341,NACK,13,5879,1,11.04,9,18,0.080853
341,NACK,18,7460,1,5.04,6,39,0.914244
341,NACK,23,9705,1,13.02,10,24,0.017763
341,ACK,30,7916,0,23.02,15,10,0.000100
342,ACK,0,4148,0,16.36,11,9,0.001242
342,ACK,6,9324,0,22.05,14,13,0.000100
342,ACK,9,2060,0,27.31,15,3,0.000100
342,ACK,16,9246,0,19.80,13,15,0.000100
342,ACK,26,955,0,30.00,15,2,0.000100
342,NACK,27,11287,1,14.10,10,28,0.007532
342,ACK,31,7890,0,21.80,14,11,0.000100
342,ACK,0,2836,0,16.36,11,6,0.001242
342,ACK,5,2051,0,17.33,12,4,0.000571
343,ACK,12,2955,0,24.04,15,4,0.000100
343,ACK,16,3648,0,17.75,12,7,0.000408
343,ACK,29,5309,0,13.25,10,14,0.014829
343,NACK,2,2992,1,6.08,6,16,0.822568
343,NACK,4,4720,1,6.57,6,25,0.757983
343,ACK,5,2122,0,15.87,11,5,0.001846
344,NACK,8,2092,1,7.10,7,9,0.672018
344,ACK,16,6896,0,16.72,11,15,0.000934
344,NACK,2,9898,1,6.11,6,52,0.819809
344,ACK,7,4172,0,15.28,11,9,0.002954
344,ACK,11,3111,0,27.84,15,4,0.000100
344,ACK,12,6689,0,24.27,15,8,0.000100
345,ACK,13,1730,0,13.55,10,5,0.011617
345,ACK,15,5269,0,30.00,15,7,0.000100
345,ACK,16,9443,0,16.49,11,20,0.001123
346,NACK,18,432,1,2.91,4,4,0.983275
346,ACK,20,10677,0,30.00,15,13,0.000100
346,ACK,26,3550,0,30.00,15,5,0.000100
346,ACK,31,5684,0,22.75,14,8,0.000100
346,ACK,1,9424,0,17.50,12,18,0.000501
346,NACK,13,9609,1,10.93,8,34,0.087598
346,ACK,14,6906,0,27.84,15,9,0.000100
347,ACK,16,2925,0,15.29,11,7,0.002923
347,ACK,21,9577,0,22.58,14,13,0.000100
347,ACK,1,856,0,17.31,12,2,0.000582
347,NACK,2,9734,1,6.17,6,51,0.812400
347,ACK,5,3479,0,14.88,10,9,0.004045
347,ACK,7,4026,0,16.64,11,9,0.000995
348,NACK,8,3980,1,6.53,6,21,0.764803
348,NACK,10,11146,1,10.22,8,39,0.144837
348,ACK,15,6834,0,30.00,15,9,0.000100
349,NACK,18,6197,1,0.60,3,65,0.997317
349,ACK,20,11329,0,26.51,15,14,0.000100
350,ACK,23,856,0,15.95,11,2,0.001732
350,ACK,29,10929,0,14.38,10,27,0.006055
350,ACK,30,5416,0,25.45,15,7,0.000100
350,ACK,4,2287,0,13.94,10,6,0.008527
350,ACK,12,9839,0,24.96,15,12,0.000100
350,ACK,15,7186,0,30.00,15,9,0.000100
350,NACK,17,5195,1,9.81,8,19,0.190353
351,ACK,23,1211,0,16.59,11,3,0.001032
351,ACK,1,6805,0,15.14,11,15,0.003296
351,NACK,2,7788,1,5.53,6,41,0.877963
351,ACK,6,2791,0,18.15,12,6,0.000297
351,ACK,9,8016,0,25.50,15,10,0.000100
352,NACK,18,842,1,5.11,6,5,0.910019
352,ACK,21,8626,0,26.22,15,11,0.000100
352,NACK,22,8772,1,7.81,7,37,0.537671
352,ACK,23,6187,0,15.59,11,13,0.002307
352,ACK,28,1882,0,21.79,14,3,0.000100
353,NACK,2,2473,1,4.03,5,18,0.960062
353,ACK,3,3714,0,16.47,11,8,0.001137
353,ACK,4,851,0,16.39,11,2,0.001218
353,ACK,23,1999,0,16.58,11,5,0.001041
353,NACK,24,5276,1,8.70,7,22,0.362806
353,ACK,30,8187,0,24.11,15,10,0.000100
353,ACK,4,6992,0,16.39,11,15,0.001218
353,ACK,13,1069,0,11.26,9,4,0.068665
353,ACK,28,988,0,23.35,15,2,0.000100
353,ACK,30,8260,0,24.11,15,10,0.000100
354,ACK,0,9764,0,15.65,11,21,0.002186
354,ACK,1,4787,0,14.68,10,12,0.004745
354,ACK,6,1711,0,17.05,12,4,0.000717
354,NACK,13,10463,1,11.61,9,32,0.052904
354,ACK,15,9861,0,29.53,15,12,0.000100
355,NACK,19,2680,1,3.90,5,19,0.963777
355,ACK,27,4009,0,14.41,10,10,0.005903
355,ACK,1,6108,0,13.43,10,15,0.012824
355,ACK,9,2170,0,23.46,15,3,0.000100
355,NACK,13,10819,1,11.28,9,33,0.067379
355,NACK,19,2603,1,3.90,5,19,0.963777
356,ACK,30,1290,0,27.11,15,2,0.000100
356,NACK,8,2214,1,3.14,5,16,0.979888
356,NACK,13,4769,1,11.71,9,15,0.049036
356,NACK,17,2190,1,6.34,6,12,0.790100
356,ACK,20,5903,0,30.00,15,8,0.000100
356,ACK,25,5192,0,12.04,9,16,0.038088
356,ACK,28,7469,0,24.74,15,9,0.000100
357,ACK,29,1214,0,11.78,9,4,0.046332
357,NACK,19,11088,1,5.12,6,58,0.909102
358,NACK,24,964,1,7.12,7,5,0.669661
358,ACK,26,2444,0,30.00,15,3,0.000100
358,ACK,30,10877,0,26.90,15,13,0.000100
358,ACK,1,3590,0,17.72,12,7,0.000420
358,NACK,4,8786,1,12.04,9,27,0.038096
358,ACK,5,7357,0,20.53,13,12,0.000100
358,ACK,10,8463,0,13.35,10,21,0.013641
358,ACK,12,5062,0,22.55,14,7,0.000100
359,NACK,18,6522,1,6.98,6,34,0.693346
359,ACK,21,4936,0,21.47,14,7,0.000100
359,NACK,24,9114,1,5.67,6,48,0.866126
359,ACK,6,5834,0,17.37,12,11,0.000554
360,ACK,11,5334,0,26.39,15,7,0.000100
360,ACK,13,4822,0,12.18,9,15,0.033990
360,ACK,14,1093,0,27.57,15,2,0.000100
360,ACK,16,10088,0,19.14,13,16,0.000134
360,NACK,18,10184,1,7.82,7,43,0.535845
360,ACK,26,3654,0,30.00,15,5,0.000100
360,ACK,31,3997,0,28.25,15,5,0.000100
361,ACK,1,7850,0,19.15,13,13,0.000134
361,NACK,2,6740,1,4.58,5,47,0.938902
361,ACK,3,7946,0,22.72,14,11,0.000100
361,ACK,6,9269,0,17.89,12,17,0.000365
362,ACK,0,10442,0,12.50,9,32,0.026596
362,ACK,7,6215,0,18.58,12,12,0.000211
362,NACK,17,11378,1,8.05,7,48,0.489323
363,ACK,5,11888,0,21.56,14,16,0.000100
363,ACK,11,9860,0,25.32,15,12,0.000100
363,ACK,14,2208,0,26.85,15,3,0.000100
363,NACK,17,9931,1,7.52,7,42,0.595444
363,ACK,28,1888,0,17.24,12,4,0.000614
363,ACK,29,3778,0,11.66,9,12,0.050613
364,ACK,0,5232,0,14.38,10,13,0.006047
364,NACK,2,3002,1,3.16,5,21,0.979651
364,NACK,8,2052,1,12.81,9,7,0.020913
364,NACK,17,807,1,8.82,7,4,0.341646
365,ACK,1,7064,0,17.51,12,13,0.000496
365,ACK,9,5570,0,27.98,15,7,0.000100
365,ACK,12,6107,0,22.54,14,9,0.000100
365,ACK,13,7272,0,15.27,11,16,0.002966
365,NACK,18,9467,1,11.25,9,29,0.068903
366,ACK,5,3308,0,20.65,13,6,0.000100
366,ACK,6,10022,0,17.20,12,19,0.000635
366,ACK,7,6863,0,16.57,11,15,0.001055
366,ACK,14,6759,0,28.58,15,9,0.000100
366,ACK,16,10039,0,19.37,13,16,0.000112
366,NACK,2,4523,1,5.23,6,24,0.901685
366,ACK,12,3143,0,23.53,15,4,0.000100
367,ACK,13,3338,0,16.52,11,7,0.001093
367,ACK,20,1352,0,27.18,15,2,0.000100
367,NACK,25,5754,1,4.32,5,40,0.950058
367,ACK,30,1980,0,24.99,15,3,0.000100
367,ACK,5,7583,0,20.90,13,12,0.000100
367,ACK,18,3388,0,12.45,9,11,0.027750
368,ACK,24,2078,0,14.26,10,6,0.006626
368,NACK,27,4707,1,10.59,8,17,0.112079
368,ACK,4,9817,0,16.62,11,21,0.001014
368,ACK,7,10634,0,17.24,12,20,0.000618
368,ACK,11,11858,0,25.69,15,15,0.000100
368,ACK,15,2297,0,30.00,15,3,0.000100
368,ACK,20,11562,0,25.83,15,14,0.000100
368,ACK,21,1436,0,22.09,14,2,0.000100
369,ACK,26,2379,0,30.00,15,3,0.000100
369,ACK,27,2613,0,10.87,8,10,0.091440
369,ACK,28,1809,0,18.48,12,4,0.000228
369,ACK,0,2345,0,12.66,9,7,0.023523
369,ACK,7,1529,0,16.79,11,4,0.000882
369,ACK,10,1882,0,11.18,9,6,0.073042
369,ACK,14,7540,0,30.00,15,9,0.000100
369,ACK,15,10660,0,30.00,15,13,0.000100
369,ACK,16,7925,0,18.19,12,15,0.000288
370,ACK,17,840,0,10.51,8,3,0.117991
370,NACK,18,1376,1,10.43,8,5,0.125522
370,ACK,21,5503,0,21.86,14,8,0.000100
370,NACK,24,6953,1,14.60,10,18,0.005076
370,ACK,27,3629,0,11.80,9,11,0.045683
370,ACK,28,2861,0,19.54,13,5,0.000100
370,ACK,3,2124,0,25.06,15,3,0.000100
370,ACK,12,7348,0,23.53,15,9,0.000100
370,ACK,13,2944,0,15.54,11,7,0.002388
370,NACK,25,2793,1,5.39,6,15,0.889815
370,ACK,28,2127,0,19.54,13,4,0.000100
370,ACK,30,1126,0,24.27,15,2,0.000100
370,ACK,4,2780,0,16.56,11,6,0.001057
371,ACK,9,8417,0,26.66,15,11,0.000100
371,ACK,14,8827,0,28.76,15,11,0.000100
371,ACK,20,8686,0,22.84,14,12,0.000100
371,ACK,24,9643,0,14.75,10,24,0.004489
371,ACK,28,9531,0,19.10,13,15,0.000139
371,NACK,29,3474,1,7.32,7,15,0.633466
372,ACK,0,5779,0,13.43,10,15,0.012811
372,ACK,6,8507,0,22.29,14,12,0.000100
372,ACK,7,8758,0,17.86,12,16,0.000376
372,NACK,29,8998,1,7.73,7,38,0.553128
372,ACK,8,1837,0,10.76,8,7,0.099030
372,ACK,15,7875,0,30.00,15,10,0.000100
373,ACK,19,3169,0,12.39,9,10,0.028958
373,ACK,21,10160,0,18.48,12,19,0.000229
373,ACK,23,1508,0,17.31,12,3,0.000580
373,ACK,28,5580,0,18.39,12,11,0.000246
373,NACK,18,4246,1,5.35,6,23,0.892769
373,ACK,22,2633,0,14.69,10,7,0.004723
373,ACK,4,3927,0,12.96,9,12,0.018498
374,NACK,10,1102,1,8.24,7,5,0.452993
374,ACK,11,6252,0,25.19,15,8,0.000100
374,ACK,13,11393,0,16.11,11,24,0.001525
374,ACK,14,3651,0,29.09,15,5,0.000100
374,ACK,27,11841,0,13.54,10,30,0.011751
375,ACK,4,1352,0,10.42,8,5,0.125684
375,ACK,5,11191,0,16.28,11,24,0.001328
375,ACK,15,6626,0,30.00,15,8,0.000100
375,ACK,16,4622,0,12.19,9,14,0.033833
375,ACK,20,1890,0,27.88,15,3,0.000100
375,NACK,24,10013,1,13.73,10,25,0.010128
376,NACK,25,5442,1,6.66,6,29,0.744252
376,ACK,3,4225,0,20.87,13,7,0.000100
376,ACK,7,4134,0,16.38,11,9,0.001220
376,ACK,20,5369,0,27.89,15,7,0.000100
376,NACK,25,2740,1,6.66,6,15,0.744252
377,NACK,2,3892,1,7.30,7,17,0.636120
377,NACK,4,4533,1,9.68,8,16,0.206514
377,ACK,7,10276,0,15.56,11,22,0.002362
377,ACK,12,9890,0,20.73,13,16,0.000100
377,ACK,14,3602,0,28.02,15,5,0.000100
377,NACK,18,1412,1,6.02,6,8,0.829707
378,ACK,24,3252,0,13.49,10,8,0.012224
378,ACK,26,8440,0,30.00,15,11,0.000100
378,NACK,29,2508,1,7.59,7,11,0.582181
378,ACK,30,2339,0,25.06,15,3,0.000100
378,ACK,1,4281,0,12.67,9,13,0.023222
378,ACK,20,6164,0,27.12,15,8,0.000100
378,NACK,25,6003,1,4.96,5,42,0.919400
379,ACK,27,9749,0,17.73,12,18,0.000415
379,ACK,0,8314,0,18.61,12,16,0.000206
379,NACK,17,11067,1,7.16,7,47,0.662170
379,ACK,21,7290,0,19.61,13,12,0.000100
379,ACK,22,1553,0,14.92,10,4,0.003940
380,NACK,29,9603,1,9.83,8,34,0.187821
380,ACK,0,7242,0,18.12,12,14,0.000304
380,ACK,7,1788,0,18.66,12,4,0.000197
380,ACK,11,3520,0,22.81,14,5,0.000100
380,ACK,16,4774,0,16.43,11,10,0.001174
380,NACK,17,7807,1,7.50,7,33,0.598631
381,ACK,20,8229,0,26.42,15,10,0.000100
381,NACK,24,11732,1,12.34,9,35,0.030101
381,NACK,8,4075,1,10.97,8,15,0.084939
381,ACK,14,6216,0,25.03,15,8,0.000100
381,ACK,15,11288,0,30.00,15,14,0.000100
382,NACK,18,5543,1,6.45,6,29,0.776047
382,ACK,21,10311,0,19.96,13,16,0.000100
382,NACK,25,3768,1,6.86,6,20,0.714096
382,NACK,29,9029,1,12.91,9,27,0.019229
383,ACK,31,4407,0,30.00,15,6,0.000100
383,ACK,1,2843,0,17.11,12,6,0.000685
383,NACK,2,3033,1,5.47,6,16,0.883358
383,NACK,4,6479,1,8.55,7,27,0.391821
383,ACK,13,4925,0,15.93,11,11,0.001748
383,ACK,22,9133,0,15.64,11,20,0.002217
384,ACK,27,3447,0,16.99,11,8,0.000752
384,ACK,30,6684,0,26.38,15,8,0.000100
384,ACK,1,6303,0,17.28,12,12,0.000596
384,ACK,15,4273,0,30.00,15,6,0.000100
384,ACK,16,10533,0,19.38,13,17,0.000111
384,ACK,21,11824,0,20.91,13,19,0.000100
384,ACK,9,9808,0,23.86,15,12,0.000100
384,NACK,10,2980,1,9.16,8,11,0.283644
384,ACK,11,2279,0,23.04,15,3,0.000100
385,ACK,13,2996,0,15.90,11,7,0.001796
385,NACK,2,11711,1,3.10,5,82,0.980576
385,ACK,3,3676,0,17.26,12,7,0.000604
386,ACK,8,3139,0,14.03,10,8,0.007959
386,ACK,13,6820,0,12.65,9,21,0.023586
386,NACK,18,1092,1,4.95,5,8,0.919674
386,NACK,19,4105,1,6.60,6,22,0.753386
386,ACK,26,6074,0,30.00,15,8,0.000100
386,ACK,28,8950,0,14.57,10,22,0.005200
387,NACK,13,2132,1,11.11,9,7,0.076949
387,ACK,20,9333,0,28.74,15,12,0.000100
387,ACK,26,7087,0,30.00,15,9,0.000100
387,ACK,27,8362,0,18.63,12,16,0.000202
387,NACK,0,7063,1,10.71,8,25,0.102566
387,NACK,4,3279,1,4.59,5,23,0.938757
387,ACK,9,1454,0,25.63,15,2,0.000100
388,ACK,10,3337,0,11.42,9,10,0.060875
388,ACK,11,6015,0,25.49,15,8,0.000100
388,ACK,12,1496,0,21.47,14,3,0.000100
388,NACK,18,11216,1,5.24,6,59,0.901091
388,ACK,21,9008,0,23.48,15,11,0.000100
388,ACK,22,2488,0,13.93,10,7,0.008611
389,ACK,26,4958,0,30.00,15,6,0.000100
389,ACK,31,7147,0,30.00,15,9,0.000100
389,NACK,24,7746,1,6.18,6,41,0.811233
389,ACK,27,981,0,17.46,12,2,0.000516
389,ACK,31,4536,0,30.00,15,6,0.000100
389,NACK,1,10817,1,11.31,9,33,0.066144
390,NACK,4,9848,1,9.38,8,35,0.249630
390,NACK,17,7265,1,4.02,5,51,0.960287
391,ACK,23,4735,0,11.61,9,15,0.052770
391,ACK,26,4353,0,30.00,15,6,0.000100
391,ACK,30,1492,0,25.33,15,2,0.000100
391,NACK,0,11581,1,8.73,7,49,0.358541
391,NACK,4,5806,1,7.14,7,25,0.665443
392,NACK,8,10803,1,9.88,8,38,0.182288
392,ACK,16,2953,0,21.49,14,4,0.000100
393,NACK,4,9668,1,10.94,8,34,0.086823
393,ACK,6,1797,0,19.02,13,3,0.000148
393,NACK,8,5714,1,10.23,8,20,0.144001
393,ACK,11,11139,0,26.98,15,14,0.000100
393,ACK,14,5046,0,25.31,15,7,0.000100
393,ACK,20,5607,0,29.91,15,7,0.000100
394,ACK,14,5621,0,26.47,15,7,0.000100
394,ACK,15,8567,0,30.00,15,11,0.000100
394,NACK,18,2995,1,3.17,5,21,0.979477
394,NACK,29,10611,1,11.79,9,32,0.045836
394,ACK,30,6414,0,22.91,14,9,0.000100
394,ACK,9,9649,0,23.76,15,12,0.000100
394,ACK,14,3756,0,26.47,15,5,0.000100
395,ACK,20,6304,0,30.00,15,8,0.000100
395,ACK,1,3762,0,17.17,12,7,0.000649
395,ACK,7,3111,0,14.69,10,8,0.004732
395,NACK,10,10098,1,10.88,8,36,0.091083
395,ACK,23,7092,0,11.86,9,22,0.043483
397,NACK,2,564,1,1.15,3,6,0.995833
397,NACK,4,9860,1,7.95,7,42,0.509906
397,ACK,5,6534,0,16.99,11,14,0.000752
397,ACK,6,6023,0,19.94,13,10,0.000100
397,ACK,16,858,0,21.57,14,2,0.000100
397,ACK,24,3526,0,10.23,8,13,0.143864
398,ACK,14,1026,0,27.55,15,2,0.000100
398,NACK,23,7843,1,11.10,9,24,0.077244
398,NACK,29,4344,1,10.58,8,16,0.112355
398,ACK,31,10346,0,30.00,15,13,0.000100
398,ACK,3,3927,0,20.17,13,7,0.000100
399,NACK,4,1201,1,8.62,7,6,0.378310
399,ACK,9,5893,0,27.12,15,8,0.000100
399,ACK,15,2377,0,30.00,15,3,0.000100
399,ACK,21,10435,0,20.41,13,17,0.000100
399,ACK,23,7940,0,12.74,9,24,0.021970
399,ACK,27,11683,0,19.55,13,19,0.000100
399,ACK,31,7210,0,30.00,15,9,0.000100
399,ACK,0,6443,0,16.47,11,14,0.001139
400,ACK,3,8945,0,20.96,13,14,0.000100
400,ACK,11,9950,0,30.00,15,12,0.000100
400,ACK,12,2984,0,24.73,15,4,0.000100
400,NACK,13,5722,1,10.39,8,20,0.128703
400,NACK,17,6995,1,6.41,6,37,0.780543
400,ACK,22,2532,0,13.89,10,7,0.008900
401,ACK,3,7994,0,21.80,14,11,0.000100
401,NACK,4,10623,1,8.61,7,45,0.380535
401,ACK,5,1042,0,22.21,14,2,0.000100
401,ACK,9,7031,0,26.38,15,9,0.000100
401,ACK,10,2552,0,11.69,9,8,0.049654
401,ACK,14,3210,0,25.37,15,4,0.000100
402,NACK,2,7966,1,2.86,4,67,0.983869
402,NACK,8,8383,1,9.52,8,30,0.229189
403,ACK,0,7749,0,18.68,12,15,0.000194
403,ACK,3,4707,0,21.51,14,7,0.000100
403,ACK,6,2401,0,22.61,14,4,0.000100
403,ACK,7,3057,0,17.47,12,6,0.000511
403,ACK,9,3636,0,24.04,15,5,0.000100
403,ACK,12,5516,0,24.35,15,7,0.000100
403,NACK,18,4672,1,5.65,6,25,0.867546
403,ACK,20,6117,0,30.00,15,8,0.000100
403,ACK,28,2325,0,14.08,10,6,0.007642
403,NACK,29,3068,1,10.45,8,11,0.123745
404,ACK,1,4730,0,18.11,12,9,0.000308
404,ACK,7,7447,0,18.70,12,14,0.000191
404,ACK,9,9984,0,25.51,15,12,0.000100
404,ACK,10,8019,0,14.79,10,20,0.004356
404,NACK,13,8723,1,12.01,9,26,0.038983
404,ACK,14,4983,0,25.55,15,6,0.000100
405,ACK,5,11638,0,20.37,13,18,0.000100
405,NACK,13,10252,1,10.18,8,36,0.148453
405,ACK,19,6215,0,15.64,11,13,0.002211
405,ACK,20,934,0,30.00,15,2,0.000100
405,ACK,22,1444,0,13.50,10,4,0.012164
406,ACK,7,1363,0,17.70,12,3,0.000426
406,ACK,9,6121,0,26.80,15,8,0.000100
406,ACK,11,6066,0,30.00,15,8,0.000100
406,ACK,20,3903,0,30.00,15,5,0.000100
406,NACK,23,2174,1,9.75,8,8,0.198183
406,NACK,2,7085,1,7.87,7,30,0.525375
406,ACK,3,3268,0,17.70,12,6,0.000426
406,ACK,8,4208,0,11.16,9,13,0.073801
406,ACK,9,1545,0,26.80,15,2,0.000100
406,ACK,10,4284,0,13.99,10,11,0.008216
406,ACK,11,3090,0,30.00,15,4,0.000100
407,NACK,18,2847,1,4.61,5,20,0.937623
407,NACK,25,1895,1,3.59,5,14,0.971365
407,ACK,26,3618,0,30.00,15,5,0.000100
407,NACK,29,7377,1,7.85,7,31,0.530261
407,ACK,31,10786,0,29.92,15,13,0.000100
407,ACK,3,4428,0,19.33,13,7,0.000116
407,ACK,21,4054,0,18.27,12,8,0.000269
408,NACK,22,4293,1,8.32,7,18,0.437063
408,ACK,28,3909,0,15.08,11,9,0.003464
408,NACK,2,6336,1,8.86,7,27,0.333844
408,ACK,3,6706,0,20.32,13,11,0.000100
408,ACK,5,3824,0,21.05,14,6,0.000100
408,ACK,6,4127,0,24.87,15,5,0.000100
408,ACK,9,7238,0,23.39,15,9,0.000100
408,ACK,15,6501,0,30.00,15,8,0.000100
409,NACK,18,6618,1,9.02,8,23,0.307406
409,NACK,22,10282,1,8.89,7,43,0.328649
409,NACK,23,10683,1,11.52,9,32,0.056576
410,ACK,7,9159,0,19.91,13,15,0.000100
410,ACK,9,7865,0,23.98,15,10,0.000100
410,ACK,11,3092,0,30.00,15,4,0.000100
410,ACK,15,1153,0,30.00,15,2,0.000100
410,ACK,20,6059,0,30.00,15,8,0.000100
410,ACK,7,5563,0,19.91,13,9,0.000100
410,ACK,12,1852,0,21.47,14,3,0.000100
410,NACK,13,4078,1,12.97,9,13,0.018456
410,ACK,14,8152,0,30.00,15,10,0.000100
410,ACK,16,5713,0,26.70,15,7,0.000100
411,NACK,25,921,1,0.34,3,10,0.997829
411,ACK,31,11889,0,30.00,15,15,0.000100
411,ACK,12,1314,0,22.65,14,2,0.000100
411,ACK,13,9802,0,14.88,10,25,0.004046
411,ACK,14,4272,0,27.47,15,6,0.000100
411,ACK,16,6307,0,26.99,15,8,0.000100
411,NACK,24,5574,1,12.14,9,17,0.035068
412,NACK,29,5823,1,6.85,6,31,0.715756
412,ACK,3,11671,0,18.20,12,22,0.000285
412,ACK,11,8433,0,30.00,15,11,0.000100
412,ACK,13,1779,0,13.13,10,5,0.016187
412,ACK,15,9417,0,30.00,15,12,0.000100
413,ACK,22,3723,0,12.40,9,12,0.028665
413,ACK,23,4836,0,13.31,10,12,0.014100
413,NACK,2,6419,1,5.74,6,34,0.858694
413,ACK,3,9293,0,18.35,12,17,0.000254
413,NACK,10,5105,1,11.24,9,16,0.069781
413,ACK,20,2164,0,30.00,15,3,0.000100
414,NACK,22,8026,1,11.17,9,24,0.073179
414,ACK,30,4120,0,25.96,15,5,0.000100
414,ACK,31,9485,0,30.00,15,12,0.000100
414,ACK,16,7344,0,24.64,15,9,0.000100
414,ACK,21,1133,0,21.69,14,2,0.000100
414,NACK,25,3631,1,2.88,4,31,0.983603
415,NACK,29,498,1,6.73,6,3,0.734440
415,ACK,1,6889,0,17.85,12,13,0.000379
415,ACK,3,3116,0,18.15,12,6,0.000297
415,NACK,5,11358,1,14.46,10,28,0.005665
415,NACK,13,10168,1,10.18,8,36,0.148610
415,NACK,18,2232,1,7.14,7,10,0.666211
416,ACK,20,4673,0,30.00,15,6,0.000100
416,ACK,21,1568,0,19.87,13,3,0.000100
416,ACK,23,4623,0,13.48,10,12,0.012355
416,ACK,5,8592,0,14.33,10,22,0.006272
416,ACK,6,2760,0,19.70,13,5,0.000100
416,NACK,8,9246,1,10.54,8,33,0.115536
417,NACK,10,1783,1,8.89,7,8,0.329259
417,ACK,12,2554,0,22.54,14,4,0.000100
417,NACK,18,1305,1,10.54,8,5,0.115974
417,NACK,19,1977,1,10.25,8,7,0.141788
417,ACK,23,6043,0,15.30,11,13,0.002909
417,NACK,29,6670,1,7.66,7,28,0.566684
417,ACK,30,6497,0,22.00,14,9,0.000100
417,ACK,15,8209,0,30.00,15,10,0.000100
418,NACK,19,6856,1,11.42,9,21,0.060734
418,ACK,28,2013,0,20.00,13,4,0.000100
418,NACK,2,2248,1,6.06,6,12,0.825731
418,ACK,6,10216,0,15.72,11,22,0.002070
418,ACK,16,1031,0,19.54,13,2,0.000100
419,NACK,17,2541,1,7.90,7,11,0.520631
419,ACK,22,8334,0,14.41,10,21,0.005875
419,ACK,3,2927,0,17.50,12,6,0.000500
419,ACK,6,10292,0,15.19,11,22,0.003177
419,ACK,11,6951,0,30.00,15,9,0.000100
419,ACK,14,10142,0,27.32,15,13,0.000100
419,ACK,16,1318,0,20.84,13,3,0.000100
419,ACK,20,4928,0,30.00,15,6,0.000100
420,ACK,22,1667,0,14.39,10,5,0.006011
420,ACK,31,8430,0,30.00,15,11,0.000100
420,NACK,8,10567,1,11.63,9,32,0.052019
420,ACK,15,6398,0,30.00,15,8,0.000100
420,ACK,16,10588,0,20.05,13,17,0.000100
420,ACK,20,6874,0,30.00,15,9,0.000100
421,NACK,24,1866,1,8.86,7,8,0.333755
421,ACK,28,10775,0,21.89,14,15,0.000100
421,NACK,2,11789,1,8.31,7,50,0.438537
421,ACK,3,7755,0,15.97,11,17,0.001700
422,ACK,11,1505,0,30.00,15,2,0.000100
422,ACK,12,10845,0,22.95,14,15,0.000100
422,ACK,17,5280,0,13.13,10,13,0.016279
422,ACK,22,4147,0,18.10,12,8,0.000309
422,ACK,23,2730,0,18.12,12,5,0.000305
422,ACK,26,7591,0,30.00,15,10,0.000100
422,NACK,29,6883,1,8.63,7,29,0.376951
422,ACK,30,4692,0,20.86,13,8,0.000100
422,ACK,31,889,0,27.80,15,2,0.000100
422,ACK,9,6249,0,26.87,15,8,0.000100
423,NACK,10,9318,1,9.51,8,33,0.230323
423,NACK,13,2869,1,8.23,7,12,0.454034
423,ACK,15,9736,0,30.00,15,12,0.000100
423,ACK,22,7331,0,18.48,12,14,0.000228
423,NACK,24,4291,1,7.79,7,18,0.541558
424,ACK,4,9478,0,13.96,10,24,0.008432
424,NACK,13,1058,1,7.31,7,5,0.634027
424,ACK,21,9149,0,23.82,15,11,0.000100
424,ACK,22,3081,0,16.99,11,7,0.000750
424,ACK,27,3984,0,23.19,15,5,0.000100
424,ACK,3,4268,0,14.77,10,11,0.004438
424,ACK,15,10355,0,30.00,15,13,0.000100
424,ACK,16,4028,0,19.72,13,7,0.000100
425,ACK,22,2610,0,15.83,11,6,0.001903
425,ACK,4,2408,0,15.58,11,6,0.002324
425,ACK,8,3418,0,14.69,10,9,0.004726
425,NACK,13,1997,1,6.79,6,11,0.725299
425,ACK,27,2920,0,20.86,13,5,0.000100
425,ACK,30,9762,0,22.80,14,14,0.000100
425,NACK,0,8391,1,9.25,8,30,0.268919
426,NACK,2,8030,1,5.25,6,42,0.900230
426,ACK,4,3990,0,14.28,10,10,0.006537
426,ACK,7,9286,0,20.38,13,15,0.000100
426,ACK,11,8473,0,26.17,15,11,0.000100
426,ACK,16,9201,0,18.47,12,17,0.000230
427,ACK,20,194,0,30.00,15,1,0.000100
427,ACK,23,8714,0,19.16,13,14,0.000132
427,ACK,1,8859,0,19.88,13,14,0.000100
427,ACK,9,3935,0,28.70,15,5,0.000100
427,NACK,13,10889,1,7.46,7,46,0.605601
427,ACK,14,4971,0,27.65,15,6,0.000100
427,ACK,16,4118,0,17.15,12,8,0.000659
428,ACK,28,7413,0,22.11,14,10,0.000100
428,NACK,0,11793,1,12.93,9,36,0.018944
428,ACK,23,11679,0,16.33,11,25,0.001279
428,NACK,0,3279,1,12.93,9,10,0.018944
429,ACK,4,1791,0,13.41,10,5,0.013024
429,ACK,8,11683,0,13.78,10,29,0.009740
429,ACK,11,6457,0,26.81,15,8,0.000100
429,ACK,12,8229,0,22.57,14,12,0.000100
429,NACK,22,4221,1,10.29,8,15,0.138205
429,ACK,27,7925,0,21.11,14,11,0.000100
429,ACK,3,950,0,18.05,12,2,0.000323
429,ACK,6,4036,0,16.23,11,9,0.001386
430,ACK,7,4842,0,20.58,13,8,0.000100
430,ACK,8,1286,0,13.90,10,4,0.008802
430,ACK,10,958,0,13.13,10,3,0.016252
430,ACK,27,7527,0,22.20,14,11,0.000100
430,NACK,29,2747,1,10.38,8,10,0.129508
430,ACK,31,5984,0,28.66,15,8,0.000100
